Calculation1,City,County/State/ Territory,Measure Names,School,Uad Uc Ethn 6 Cat,Measure Values
CASTRO VALLEY HIGH SCHOOL50500,Castro Valley,Alameda,adm,CASTRO VALLEY HIGH SCHOOL,Hispanic/ Latino,11
CASTRO VALLEY HIGH SCHOOL50500,Castro Valley,Alameda,app,CASTRO VALLEY HIGH SCHOOL,Hispanic/ Latino,23
CASTRO VALLEY HIGH SCHOOL50500,Castro Valley,Alameda,enr,CASTRO VALLEY HIGH SCHOOL,African American,
CASTRO VALLEY HIGH SCHOOL50500,Castro Valley,Alameda,adm,CASTRO VALLEY HIGH SCHOOL,African American,3
CASTRO VALLEY HIGH SCHOOL50500,Castro Valley,Alameda,app,CASTRO VALLEY HIGH SCHOOL,African American,13
CASTRO VALLEY HIGH SCHOOL50500,Castro Valley,Alameda,enr,CASTRO VALLEY HIGH SCHOOL,All,18
CASTRO VALLEY HIGH SCHOOL50500,Castro Valley,Alameda,adm,CASTRO VALLEY HIGH SCHOOL,All,50
CASTRO VALLEY HIGH SCHOOL50500,Castro Valley,Alameda,app,CASTRO VALLEY HIGH SCHOOL,All,171
COLISEUM COLLEGE PREP ACADEMY54412,Oakland,Alameda,enr,COLISEUM COLLEGE PREP ACADEMY,Hispanic/ Latino,
COLISEUM COLLEGE PREP ACADEMY54412,Oakland,Alameda,adm,COLISEUM COLLEGE PREP ACADEMY,Hispanic/ Latino,8
COLISEUM COLLEGE PREP ACADEMY54412,Oakland,Alameda,app,COLISEUM COLLEGE PREP ACADEMY,Hispanic/ Latino,20
COLISEUM COLLEGE PREP ACADEMY54412,Oakland,Alameda,enr,COLISEUM COLLEGE PREP ACADEMY,All,
COLISEUM COLLEGE PREP ACADEMY54412,Oakland,Alameda,adm,COLISEUM COLLEGE PREP ACADEMY,All,9
COLISEUM COLLEGE PREP ACADEMY54412,Oakland,Alameda,app,COLISEUM COLLEGE PREP ACADEMY,All,24
DUBLIN HIGH SCHOOL50784,Dublin,Alameda,enr,DUBLIN HIGH SCHOOL,Domestic Unknown,
DUBLIN HIGH SCHOOL50784,Dublin,Alameda,adm,DUBLIN HIGH SCHOOL,Domestic Unknown,4
DUBLIN HIGH SCHOOL50784,Dublin,Alameda,app,DUBLIN HIGH SCHOOL,Domestic Unknown,6
DUBLIN HIGH SCHOOL50784,Dublin,Alameda,enr,DUBLIN HIGH SCHOOL,White,4
DUBLIN HIGH SCHOOL50784,Dublin,Alameda,adm,DUBLIN HIGH SCHOOL,White,8
DUBLIN HIGH SCHOOL50784,Dublin,Alameda,app,DUBLIN HIGH SCHOOL,White,27
DUBLIN HIGH SCHOOL50784,Dublin,Alameda,enr,DUBLIN HIGH SCHOOL,Asian,5
DUBLIN HIGH SCHOOL50784,Dublin,Alameda,adm,DUBLIN HIGH SCHOOL,Asian,36
DUBLIN HIGH SCHOOL50784,Dublin,Alameda,app,DUBLIN HIGH SCHOOL,Asian,100
DUBLIN HIGH SCHOOL50784,Dublin,Alameda,enr,DUBLIN HIGH SCHOOL,Hispanic/ Latino,
DUBLIN HIGH SCHOOL50784,Dublin,Alameda,adm,DUBLIN HIGH SCHOOL,Hispanic/ Latino,
DUBLIN HIGH SCHOOL50784,Dublin,Alameda,app,DUBLIN HIGH SCHOOL,Hispanic/ Latino,6
DUBLIN HIGH SCHOOL50784,Dublin,Alameda,enr,DUBLIN HIGH SCHOOL,African American,
DUBLIN HIGH SCHOOL50784,Dublin,Alameda,adm,DUBLIN HIGH SCHOOL,African American,
DUBLIN HIGH SCHOOL50784,Dublin,Alameda,app,DUBLIN HIGH SCHOOL,African American,5
DUBLIN HIGH SCHOOL50784,Dublin,Alameda,enr,DUBLIN HIGH SCHOOL,All,9
DUBLIN HIGH SCHOOL50784,Dublin,Alameda,adm,DUBLIN HIGH SCHOOL,All,50
DUBLIN HIGH SCHOOL50784,Dublin,Alameda,app,DUBLIN HIGH SCHOOL,All,144
EMERY SECONDARY SCHOOL50860,Emeryville,Alameda,enr,EMERY SECONDARY SCHOOL,African American,
EMERY SECONDARY SCHOOL50860,Emeryville,Alameda,adm,EMERY SECONDARY SCHOOL,African American,
EMERY SECONDARY SCHOOL50860,Emeryville,Alameda,app,EMERY SECONDARY SCHOOL,African American,6
EMERY SECONDARY SCHOOL50860,Emeryville,Alameda,enr,EMERY SECONDARY SCHOOL,All,
EMERY SECONDARY SCHOOL50860,Emeryville,Alameda,adm,EMERY SECONDARY SCHOOL,All,
EMERY SECONDARY SCHOOL50860,Emeryville,Alameda,app,EMERY SECONDARY SCHOOL,All,9
ENCINAL HIGH SCHOOL50015,Alameda,Alameda,enr,ENCINAL HIGH SCHOOL,White,
ENCINAL HIGH SCHOOL50015,Alameda,Alameda,adm,ENCINAL HIGH SCHOOL,White,3
ENCINAL HIGH SCHOOL50015,Alameda,Alameda,app,ENCINAL HIGH SCHOOL,White,5
ENCINAL HIGH SCHOOL50015,Alameda,Alameda,enr,ENCINAL HIGH SCHOOL,Asian,4
ENCINAL HIGH SCHOOL50015,Alameda,Alameda,adm,ENCINAL HIGH SCHOOL,Asian,9
ENCINAL HIGH SCHOOL50015,Alameda,Alameda,app,ENCINAL HIGH SCHOOL,Asian,24
ENCINAL HIGH SCHOOL50015,Alameda,Alameda,enr,ENCINAL HIGH SCHOOL,African American,
ENCINAL HIGH SCHOOL50015,Alameda,Alameda,adm,ENCINAL HIGH SCHOOL,African American,
ENCINAL HIGH SCHOOL50015,Alameda,Alameda,app,ENCINAL HIGH SCHOOL,African American,5
ENCINAL HIGH SCHOOL50015,Alameda,Alameda,enr,ENCINAL HIGH SCHOOL,All,4
ENCINAL HIGH SCHOOL50015,Alameda,Alameda,adm,ENCINAL HIGH SCHOOL,All,14
ENCINAL HIGH SCHOOL50015,Alameda,Alameda,app,ENCINAL HIGH SCHOOL,All,41
ENVISION ACAD ARTS/TECHNOLOGY54285,Oakland,Alameda,enr,ENVISION ACAD ARTS/TECHNOLOGY,All,
ENVISION ACAD ARTS/TECHNOLOGY54285,Oakland,Alameda,adm,ENVISION ACAD ARTS/TECHNOLOGY,All,4
ENVISION ACAD ARTS/TECHNOLOGY54285,Oakland,Alameda,app,ENVISION ACAD ARTS/TECHNOLOGY,All,7
FOOTHILL HIGH SCHOOL52497,Pleasanton,Alameda,enr,FOOTHILL HIGH SCHOOL,Domestic Unknown,
FOOTHILL HIGH SCHOOL52497,Pleasanton,Alameda,adm,FOOTHILL HIGH SCHOOL,Domestic Unknown,
FOOTHILL HIGH SCHOOL52497,Pleasanton,Alameda,app,FOOTHILL HIGH SCHOOL,Domestic Unknown,6
FOOTHILL HIGH SCHOOL52497,Pleasanton,Alameda,enr,FOOTHILL HIGH SCHOOL,White,6
FOOTHILL HIGH SCHOOL52497,Pleasanton,Alameda,adm,FOOTHILL HIGH SCHOOL,White,17
FOOTHILL HIGH SCHOOL52497,Pleasanton,Alameda,app,FOOTHILL HIGH SCHOOL,White,45
FOOTHILL HIGH SCHOOL52497,Pleasanton,Alameda,enr,FOOTHILL HIGH SCHOOL,Asian,6
FOOTHILL HIGH SCHOOL52497,Pleasanton,Alameda,adm,FOOTHILL HIGH SCHOOL,Asian,45
FOOTHILL HIGH SCHOOL52497,Pleasanton,Alameda,app,FOOTHILL HIGH SCHOOL,Asian,113
FOOTHILL HIGH SCHOOL52497,Pleasanton,Alameda,enr,FOOTHILL HIGH SCHOOL,Hispanic/ Latino,
FOOTHILL HIGH SCHOOL52497,Pleasanton,Alameda,adm,FOOTHILL HIGH SCHOOL,Hispanic/ Latino,3
FOOTHILL HIGH SCHOOL52497,Pleasanton,Alameda,app,FOOTHILL HIGH SCHOOL,Hispanic/ Latino,8
FOOTHILL HIGH SCHOOL52497,Pleasanton,Alameda,enr,FOOTHILL HIGH SCHOOL,All,14
FOOTHILL HIGH SCHOOL52497,Pleasanton,Alameda,adm,FOOTHILL HIGH SCHOOL,All,68
FOOTHILL HIGH SCHOOL52497,Pleasanton,Alameda,app,FOOTHILL HIGH SCHOOL,All,179
FREMONT HIGH SCHOOL52205,Oakland,Alameda,enr,FREMONT HIGH SCHOOL,Hispanic/ Latino,4
FREMONT HIGH SCHOOL52205,Oakland,Alameda,adm,FREMONT HIGH SCHOOL,Hispanic/ Latino,6
FREMONT HIGH SCHOOL52205,Oakland,Alameda,app,FREMONT HIGH SCHOOL,Hispanic/ Latino,14
FREMONT HIGH SCHOOL52205,Oakland,Alameda,enr,FREMONT HIGH SCHOOL,All,5
FREMONT HIGH SCHOOL52205,Oakland,Alameda,adm,FREMONT HIGH SCHOOL,All,8
FREMONT HIGH SCHOOL52205,Oakland,Alameda,app,FREMONT HIGH SCHOOL,All,19
GRANADA HIGH SCHOOL51423,Livermore,Alameda,enr,GRANADA HIGH SCHOOL,White,7
GRANADA HIGH SCHOOL51423,Livermore,Alameda,adm,GRANADA HIGH SCHOOL,White,19
GRANADA HIGH SCHOOL51423,Livermore,Alameda,app,GRANADA HIGH SCHOOL,White,49
GRANADA HIGH SCHOOL51423,Livermore,Alameda,enr,GRANADA HIGH SCHOOL,Asian,
GRANADA HIGH SCHOOL51423,Livermore,Alameda,adm,GRANADA HIGH SCHOOL,Asian,7
GRANADA HIGH SCHOOL51423,Livermore,Alameda,app,GRANADA HIGH SCHOOL,Asian,26
GRANADA HIGH SCHOOL51423,Livermore,Alameda,enr,GRANADA HIGH SCHOOL,Hispanic/ Latino,
GRANADA HIGH SCHOOL51423,Livermore,Alameda,adm,GRANADA HIGH SCHOOL,Hispanic/ Latino,3
GRANADA HIGH SCHOOL51423,Livermore,Alameda,app,GRANADA HIGH SCHOOL,Hispanic/ Latino,13
GRANADA HIGH SCHOOL51423,Livermore,Alameda,enr,GRANADA HIGH SCHOOL,All,10
