Calculation1,City,Measure Names,School,Uad Uc Ethn 6 Cat,Measure Values,Zipcode
LIVERMORE VALLEY CHARTER PREP51541,Livermore,app,LIVERMORE VALLEY CHARTER PREP,All,7,94551
NEWARK MEMORIAL HIGH SCHOOL52114,Newark,enr,NEWARK MEMORIAL HIGH SCHOOL,Asian,,94560
NEWARK MEMORIAL HIGH SCHOOL52114,Newark,adm,NEWARK MEMORIAL HIGH SCHOOL,Asian,,94560
NEWARK MEMORIAL HIGH SCHOOL52114,Newark,app,NEWARK MEMORIAL HIGH SCHOOL,Asian,20,94560
NEWARK MEMORIAL HIGH SCHOOL52114,Newark,enr,NEWARK MEMORIAL HIGH SCHOOL,Hispanic/ Latino,,94560
NEWARK MEMORIAL HIGH SCHOOL52114,Newark,adm,NEWARK MEMORIAL HIGH SCHOOL,Hispanic/ Latino,,94560
NEWARK MEMORIAL HIGH SCHOOL52114,Newark,app,NEWARK MEMORIAL HIGH SCHOOL,Hispanic/ Latino,13,94560
NEWARK MEMORIAL HIGH SCHOOL52114,Newark,enr,NEWARK MEMORIAL HIGH SCHOOL,All,3,94560
NEWARK MEMORIAL HIGH SCHOOL52114,Newark,adm,NEWARK MEMORIAL HIGH SCHOOL,All,3,94560
NEWARK MEMORIAL HIGH SCHOOL52114,Newark,app,NEWARK MEMORIAL HIGH SCHOOL,All,39,94560
AMADOR VALLEY HIGH SCHOOL52495,Pleasanton,enr,AMADOR VALLEY HIGH SCHOOL,Domestic Unknown,,94566
AMADOR VALLEY HIGH SCHOOL52495,Pleasanton,adm,AMADOR VALLEY HIGH SCHOOL,Domestic Unknown,5,94566
AMADOR VALLEY HIGH SCHOOL52495,Pleasanton,app,AMADOR VALLEY HIGH SCHOOL,Domestic Unknown,17,94566
AMADOR VALLEY HIGH SCHOOL52495,Pleasanton,enr,AMADOR VALLEY HIGH SCHOOL,White,4,94566
AMADOR VALLEY HIGH SCHOOL52495,Pleasanton,adm,AMADOR VALLEY HIGH SCHOOL,White,6,94566
AMADOR VALLEY HIGH SCHOOL52495,Pleasanton,app,AMADOR VALLEY HIGH SCHOOL,White,47,94566
AMADOR VALLEY HIGH SCHOOL52495,Pleasanton,enr,AMADOR VALLEY HIGH SCHOOL,Asian,22,94566
AMADOR VALLEY HIGH SCHOOL52495,Pleasanton,adm,AMADOR VALLEY HIGH SCHOOL,Asian,38,94566
AMADOR VALLEY HIGH SCHOOL52495,Pleasanton,app,AMADOR VALLEY HIGH SCHOOL,Asian,120,94566
AMADOR VALLEY HIGH SCHOOL52495,Pleasanton,enr,AMADOR VALLEY HIGH SCHOOL,Hispanic/ Latino,4,94566
AMADOR VALLEY HIGH SCHOOL52495,Pleasanton,adm,AMADOR VALLEY HIGH SCHOOL,Hispanic/ Latino,4,94566
AMADOR VALLEY HIGH SCHOOL52495,Pleasanton,app,AMADOR VALLEY HIGH SCHOOL,Hispanic/ Latino,12,94566
AMADOR VALLEY HIGH SCHOOL52495,Pleasanton,enr,AMADOR VALLEY HIGH SCHOOL,All,33,94566
AMADOR VALLEY HIGH SCHOOL52495,Pleasanton,adm,AMADOR VALLEY HIGH SCHOOL,All,54,94566
AMADOR VALLEY HIGH SCHOOL52495,Pleasanton,app,AMADOR VALLEY HIGH SCHOOL,All,202,94566
DUBLIN HIGH SCHOOL50784,Dublin,enr,DUBLIN HIGH SCHOOL,Domestic Unknown,,94568
DUBLIN HIGH SCHOOL50784,Dublin,adm,DUBLIN HIGH SCHOOL,Domestic Unknown,3,94568
DUBLIN HIGH SCHOOL50784,Dublin,app,DUBLIN HIGH SCHOOL,Domestic Unknown,8,94568
DUBLIN HIGH SCHOOL50784,Dublin,enr,DUBLIN HIGH SCHOOL,White,,94568
DUBLIN HIGH SCHOOL50784,Dublin,adm,DUBLIN HIGH SCHOOL,White,,94568
DUBLIN HIGH SCHOOL50784,Dublin,app,DUBLIN HIGH SCHOOL,White,20,94568
DUBLIN HIGH SCHOOL50784,Dublin,enr,DUBLIN HIGH SCHOOL,Asian,18,94568
DUBLIN HIGH SCHOOL50784,Dublin,adm,DUBLIN HIGH SCHOOL,Asian,26,94568
DUBLIN HIGH SCHOOL50784,Dublin,app,DUBLIN HIGH SCHOOL,Asian,92,94568
DUBLIN HIGH SCHOOL50784,Dublin,enr,DUBLIN HIGH SCHOOL,Hispanic/ Latino,,94568
DUBLIN HIGH SCHOOL50784,Dublin,adm,DUBLIN HIGH SCHOOL,Hispanic/ Latino,,94568
